Chapter,หัวข้อ,คำถาม,ตัวเลือก A,ตัวเลือก B,ตัวเลือก C,ตัวเลือก D,คำตอบที่ถูก,คำอธิบาย,หมายเหตุการรวม,status
1,คอมพิวเตอร์แบบเดิมทำตามคำสั่งของมนุษย์ แต่ AI สามารถเรียนรู้และสร้างสิ่งใหม่ได้ด้วยตัวเอง,ข้อใดอธิบายความแตกต่างระหว่างคอมพิวเตอร์แบบเดิมกับ AI ได้ถูกต้องที่สุด,คอมพิวเตอร์แบบเดิมทำตามคำสั่งเท่านั้น ส่วน AI สามารถเรียนรู้และสร้างสิ่งใหม่ได้,คอมพิวเตอร์แบบเดิมใช้ข้อมูลมากกว่า AI,AI ทำงานช้ากว่าคอมพิวเตอร์ทั่วไป,ทั้งสองแบบเหมือนกัน,A,สะท้อนความเข้าใจพื้นฐานของแนวคิด “AI เรียนรู้และสร้างสรรค์ได้” ซึ่งต่างจากระบบที่ทำตามคำสั่งแบบเดิม,,
1,Generative AI คือ AI ที่สามารถสร้างสิ่งใหม่ เช่น บทความ ภาพ หรือเพลง จากสิ่งที่เรียนรู้,Generative AI แตกต่างจาก AI แบบดั้งเดิมอย่างไร,ใช้ข้อมูลน้อยกว่า,เน้นสร้างผลลัพธ์ใหม่จากความรู้ที่เรียนรู้,ไม่สามารถตอบสนองแบบเรียลไทม์,ใช้ได้เฉพาะกับภาพเท่านั้น,B,Reinforce ความเข้าใจว่า Generative AI มีความสามารถ “สร้างเนื้อหาใหม่” ไม่ใช่แค่ประมวลผลข้อมูลเดิม,,
1,Machine Learning คือการให้อัลกอริทึมเรียนรู้จากข้อมูลโดยไม่ต้องสั่งทุกขั้นตอน,“Machine Learning” ทำงานแตกต่างจากการเขียนโปรแกรมแบบเดิมอย่างไร,ไม่ต้องใช้ข้อมูลฝึก,มีการเรียนรู้จากข้อมูลโดยไม่ต้องระบุทุกขั้นตอน,ใช้แค่กฎตายตัวเท่านั้น,ต้องเขียนโค้ดทุกบรรทัดเอง,B,ทดสอบความเข้าใจแนวคิด “การเรียนรู้ของเครื่อง” ที่เป็นรากฐานของ AI ยุคใหม่,,
1,Deep Learning ใช้โครงข่ายประสาทเทียม (Neural Networks) หลายชั้นเพื่อเข้าใจข้อมูลเชิงลึก,“Deep Learning” แตกต่างจาก “Machine Learning” แบบทั่วไปอย่างไร,ใช้ข้อมูลน้อยกว่า,ใช้โครงข่ายประสาทเทียมหลายชั้นเพื่อเข้าใจรูปแบบเชิงลึกของข้อมูล,ใช้เฉพาะกับข้อมูลตัวเลข,ไม่ต้องการฮาร์ดแวร์ที่มีพลังสูง,B,วัดความเข้าใจเทคนิค Deep Learning ที่เพิ่มความซับซ้อนและศักยภาพของ AI,,
1,LLM คือโมเดลภาษาขนาดใหญ่ที่ทำนายคำถัดไปจากบริบทก่อนหน้า,หลักการทำงานหลักของโมเดลภาษา (LLM) คืออะไร,การจดจำทุกประโยคในฐานข้อมูล,การทำนายคำถัดไปตามบริบทของคำก่อนหน้า,การแปลทุกภาษาพร้อมกัน,การค้นหาข้อมูลจากอินเทอร์เน็ตแบบเรียลไทม์,B,Reinforce ความเข้าใจของผู้เรียนต่อกลไก “Next Word Prediction” ซึ่งเป็นหัวใจของ LLM,,
1,"LLM ผ่านการฝึกด้วย Self-supervised, Supervised Fine-tuning และ RLHF",จุดประสงค์ของขั้นตอน RLHF คืออะไร,ให้โมเดลท่องจำข้อมูลเพิ่มขึ้น,ปรับโมเดลให้ตอบตรงกับความต้องการของผู้ใช้มากขึ้น,ลดขนาดโมเดลให้เล็กลง,ทำให้โมเดลตอบเร็วขึ้น,B,RLHF คือการให้มนุษย์ช่วยประเมินคำตอบเพื่อให้โมเดลเรียนรู้พฤติกรรมที่มนุษย์ต้องการ,,
1,Generative AI สามารถสร้างภาพ เสียง วิดีโอ และโค้ดจากคำบรรยายได้,ข้อใดต่อไปนี้เป็นตัวอย่างของ Generative AI ที่ถูกต้อง,โปรแกรมแปลภาษา,โปรแกรมสร้างภาพจากข้อความ,ระบบค้นหาข้อมูล,ระบบล็อกอินอัตโนมัติ,B,ทดสอบการเชื่อมโยงแนวคิดกับการใช้งานจริงของ Generative AI,,
1,"โมเดลภาษาไทย เช่น OpenThaiGPT, Typhoon, Pratumma LLM พัฒนาโดยคนไทย",การพัฒนาโมเดลภาษาไทยมีความสำคัญอย่างไร,เพื่อแข่งขันกับบริษัทต่างชาติเท่านั้น,เพื่อให้โมเดลเข้าใจภาษาและวัฒนธรรมไทยอย่างลึกซึ้ง,เพื่อทำให้การตอบเร็วขึ้น,เพื่อใช้เฉพาะงานราชการ,B,ส่งเสริมการตระหนักรู้ถึงคุณค่าของการพัฒนา AI ให้สอดคล้องกับบริบททางภาษาและวัฒนธรรมของไทย,,
2,งานวิจัยของ OpenAI อธิบายว่าทำไมโมเดลไม่พูดว่า “I don’t know”,เหตุใด AI จึงเลือก “เดา” แทนที่จะตอบว่า “ไม่รู้”,เพราะระบบการประเมินให้คะแนนเฉพาะคำตอบที่ถูกต้อง,เพราะโมเดลไม่เข้าใจภาษา,เพราะโมเดลต้องการหลอกมนุษย์,เพราะไม่มีข้อมูลพอในระบบ,A,AI ถูกฝึกให้เดาเพราะระบบให้รางวัลเฉพาะคำตอบที่ถูก ทำให้เลือกตอบมากกว่าปฏิเสธ,,
2,กรณีรถ Tesla พุ่งชนรถพ่วงโดยไม่ลดความเร็ว,กรณีนี้สะท้อนความเสี่ยงด้านใดของ AI,การหลอน (Hallucination),ความล้มเหลวในการรับรู้และตัดสินใจ,การคำนวณเร็วเกินไป,การขาดข้อมูลภาพ,B,สะท้อนความเสี่ยงของ AI ด้านการตัดสินใจอัตโนมัติที่ผิดพลาดแม้เห็นวัตถุชัดเจน,,
